CvsB,CvsT,TvsB,CvsB|CvsT,CvsB|TvsB,CvsT|TvsB,CvsB|CvsT|TvsB
3119.G2,,,285590,,,
124901866.G1,,,338657,,,
7484.G1,,,339291,,,
4137.G1,,,339456,,,
153562.G1,,,339896,,,
3903.G4,,,340359,,,
7918.G3,,,340543,,,
7173.G1,,,341640,,,
8878.G1,,,342035,,,
116729.G1,,,342132,,,
56911.G1,,,342527,,,
100529144.G1,,,347273,,,
6351.G1,,,347365,,,
5089.G2,,,348174,,,
100506742.G1,,,377007,,,
3812.G24,,,387733,,,
2843.G2,,,387890,,,
3112.G3,,,388531,,,
55890.G1,,,388561,,,
259290.G2,,,389084,,,
10288.G1,,,389125,,,
101059918.G2,,,389257,,,
5345.G1,,,389692,,,
6920.G1,,,392255,,,
4629.G1,,,399668,,,
1394.G1,,,399694,,,
259293.G2,,,400961,,,
2041.G1,,,401138,,,
653720.G2,,,401265,,,
57109.G1,,,414062,,,
10288.G3,,,414152,,,
221527.G1,,,414899,,,
102157402.G1,,,440279,,,
80781.G1,,,441549,,,
255027.G1,,,442721,,,
6362.G2,,,445372,,,
11026.G1,,,492307,,,
3111.G4,,,493829,,,
54535.G5,,,642273,,,
57597.G1,,,642475,,,
,,,643834,,,
,,,644150,,,
,,,646480,,,
,,,646962,,,
,,,653149,,,
,,,727910,,,
,,,729438,,,
,,,729830,,,
,,,730112,,,
,,,100131390,,,
,,,100507537,,,
,,,100507588,,,
,,,100526772,,,
,,,100527978,,,
,,,100529063,,,
,,,100529241,,,
,,,100529257,,,
,,,100532726,,,
,,,100885848,,,
,,,102723407,,,
,,,102724428,,,
,,,105371267,,,
,,,107987462,,,
,,,124188259,,,
,,,124900173,,,
,,,124901231,,,
,,,124904581,,,
,,,124905553,,,
,,,3122.G6,,,
,,,57062.G1,,,
,,,100037417.G1,,,
,,,3122.G5,,,
,,,9788.G1,,,
,,,3117.G6,,,
,,,3107.G3,,,
,,,110354863.G1,,,
,,,3126.G1,,,
,,,5106.G1,,,
,,,6891.G6,,,
,,,6123.G1,,,
,,,9172.G1,,,
,,,3119.G6,,,
,,,285349.G1,,,
,,,25998.G1,,,
,,,80344.G1,,,
,,,3122.G4,,,
,,,3126.G2,,,
,,,57718.G1,,,
,,,7584.G1,,,
,,,1366.G1,,,
,,,321.G2,,,
,,,2017.G1,,,
,,,4137.G2,,,
,,,6050.G1,,,
,,,114823.G2,,,
,,,328.G1,,,
,,,6845.G1,,,
,,,55229.G1,,,
,,,79792.G1,,,
,,,3784.G1,,,
,,,3108.G3,,,
,,,3881.G2,,,
,,,9278.G1,,,
,,,8086.G1,,,
,,,9278.G2,,,
,,,3881.G1,,,
,,,5863.G2,,,
,,,65265.G1,,,
,,,10990.G2,,,
,,,3122.G3,,,
,,,121340.G1,,,
,,,63905.G1,,,
,,,91875.G1,,,
,,,321.G1,,,
,,,3115.G7,,,
,,,4586.G1,,,
,,,50814.G1,,,
,,,54891.G1,,,
,,,6351.G2,,,
,,,388021.G1,,,
,,,104909134.G2,,,
,,,7136.G1,,,
,,,653145.G1,,,
,,,3123.G5,,,
,,,79168.G3,,,
,,,3117.G4,,,
,,,94104.G1,,,
,,,338599.G1,,,
,,,6348.G1,,,
,,,51676.G1,,,
,,,23399.G1,,,
,,,1508.G1,,,
,,,9560.G1,,,
,,,79602.G1,,,
,,,55275.G1,,,
,,,3107.G6,,,
,,,10537.G2,,,
,,,3115.G4,,,
,,,414062.G1,,,
,,,57176.G5,,,
,,,3122.G2,,,
,,,26973.G1,,,
,,,90987.G1,,,
,,,2968.G5,,,
,,,6714.G1,,,
,,,11156.G1,,,
,,,10168.G1,,,
,,,124935.G1,,,
,,,145553.G1,,,
,,,5698.G2,,,
,,,161247.G1,,,
,,,6362.G1,,,
,,,6992.G4,,,
,,,5987.G2,,,
,,,63943.G3,,,
,,,51149.G1,,,
,,,200958.G5,,,
,,,3105.G6,,,
,,,2483.G3,,,
,,,6892.G4,,,
