CvsB,CvsT,TvsB,CvsB|CvsT,CvsB|TvsB,CvsT|TvsB
XR_007066925.1,,SLC8A1-IT4,,,
10135-AS1,,LINC235,,,
NR_108104.1,,XR_935376.3,,,
XR_007060183.1,,NR_108064.1.T3,,,
XR_007061708.1,,NR_037928.1,,,
ROR1-IT1,,XR_007068316.1,,,
LINC458,,ZYG11B-OT1,,,
XR_007064499.1,,XR_946333.3,,,
XR_001747537.3,,XR_001755490.2,,,
XR_938521.3,,XR_001739633.2,,,
NR_138258.1,,XR_927134.3,,,
,,79703-AS1,,,
,,XR_007058231.1,,,
,,GYPE-OT2,,,
,,LINC43,,,
,,XR_940109.3,,,
,,FMC1-LUC7L2-OT1,,,
,,XR_946968.2,,,
,,COLGALT1-OT1,,,
,,LINC463,,,
,,XR_937340.3,,,
,,LINC856,,,
,,NR_148503.1,,,
,,NR_037857.1,,,
,,LINC468,,,
,,LINC544,,,
,,NR_120332.1,,,
,,ATAD1-IT1,,,
,,441273-AS1,,,
,,NR_110270.1,,,
,,XR_001737675.3,,,
,,XR_007086380.1,,,
,,ARL10-OT1,,,
,,LINC863,,,
,,XR_936420.4,,,
,,XR_110033.3,,,
,,LINC624,,,
,,SYAP1-OT1,,,
,,LINC725,,,
,,GNB4-OT1,,,
,,LINC244,,,
,,XR_923486.4,,,
,,XR_244974.5,,,
,,NR_137194.1,,,
,,XR_001738091.2,,,
,,XR_927276.2,,,
,,XR_007088068.1,,,
,,NR_125954.1,,,
,,XR_001742937.1,,,
,,LRCH3-OT1,,,
,,XR_001740926.1,,,
,,XR_007066807.1,,,
,,XR_940358.3,,,
,,SLC16A10-IT1,,,
,,XR_923207.3,,,
,,XR_923341.3,,,
,,XR_002958821.2,,,
,,LINC698,,,
,,SEMA3E-IT1,,,
,,LINC751,,,
,,LINC483,,,
,,LINC465,,,
,,LINC836,,,
,,LINC243,,,
,,APLN-OT1,,,
,,NR_110784.1,,,
,,LINC900,,,
,,LINC509,,,
,,XR_001740722.3,,,
,,XR_001756373.2,,,
,,XR_924701.2,,,
,,LINC222,,,
,,NR_103549.1,,,
,,XR_007062845.1,,,
,,KYNU-IT1,,,
,,NR_110225.1,,,
,,LINC90,,,
,,XR_001746498.3,,,
,,LINC897,,,
,,NR_132124.1,,,
,,XR_002959374.1,,,
,,NR_111956.2,,,
,,XR_923607.3,,,
,,XR_931133.3,,,
,,XR_007067833.1,,,
,,NDUFB1-IT1,,,
,,XR_007058241.1,,,
,,LINC86,,,
,,NR_134640.1,,,
,,LINC743,,,
,,MBNL1-OT3,,,
,,XR_001750861.2,,,
,,XR_007066393.1,,,
,,UBE4B-OT1,,,
,,LINC869,,,
,,XR_007063352.1,,,
,,NR_026860.1,,,
,,XR_007064588.1,,,
,,XR_007059079.1,,,
,,XR_928459.4,,,
,,XR_925848.3,,,
,,XR_928545.3,,,
,,XR_007059045.1,,,
,,XR_001753376.1,,,
,,LOC124905540-IT10,,,
,,XR_933827.3,,,
,,XR_007096228.1,,,
,,XR_007062937.1,,,
,,XR_940084.3,,,
,,XR_007087297.1,,,
,,XR_949329.2,,,
,,NR_160887.1,,,
,,TRIM58-OT1,,,
